Wavelength (nm),Normalized Intensity
1060.020344,8.70885463e-11
1060.051564,1.30939907e-10
1060.082785,1.96472950e-10
1060.114009,2.94201529e-10
1060.145234,4.39632614e-10
1060.176461,6.55584778e-10
1060.207689,9.75557170e-10
1060.238920,1.44861235e-09
1060.270153,2.14643476e-09
1060.301387,3.17350705e-09
1060.332623,4.68174218e-09
1060.363861,6.89146425e-09
1060.395101,1.01214095e-08
1060.426342,1.48315038e-08
1060.457586,2.16836830e-08
1060.488831,3.16281126e-08
1060.520079,4.60250509e-08
1060.551328,6.68165682e-08
1060.582578,9.67677743e-08
1060.613831,1.39804621e-07
1060.645086,2.01485431e-07
1060.676342,2.89656935e-07
1060.707600,4.15363974e-07
1060.738860,5.94106646e-07
1060.770122,8.47571546e-07
1060.801386,1.20600740e-06
1060.832652,1.71147308e-06
1060.863919,2.42226170e-06
1060.895188,3.41890378e-06
1060.926460,4.81228079e-06
1060.957733,6.75454717e-06
1060.989007,9.45377169e-06
1061.020284,1.31934813e-05
1061.051563,1.83586342e-05
1061.082843,2.54699810e-05
1061.114125,3.52293101e-05
1061.145409,4.85787357e-05
1061.176695,6.67779983e-05
1061.207983,9.15047235e-05
1061.239272,1.24983754e-04
1061.270564,1.70153039e-04
1061.301857,2.30875166e-04
1061.333152,3.12205403e-04
1061.364449,4.20729162e-04
1061.395748,5.64983908e-04
1061.427049,7.55982836e-04
1061.458351,1.00785979e-03
1061.489656,1.33865692e-03
1061.520962,1.77127804e-03
1061.552270,2.33463140e-03
1061.583580,3.06498488e-03
1061.614891,4.00755436e-03
1061.646205,5.21834081e-03
1061.677520,6.76622353e-03
1061.708838,8.73530400e-03
1061.740157,1.12274769e-02
1061.771478,1.43651801e-02
1061.802801,1.82942431e-02
1061.834125,2.31867129e-02
1061.865452,2.92434865e-02
1061.896780,3.66965197e-02
1061.928110,4.58103149e-02
1061.959442,5.68823189e-02
1061.990776,7.02417802e-02
1062.022112,8.62465470e-02
1062.053450,1.05277219e-01
1062.084789,1.27728026e-01
1062.116130,1.53993784e-01
1062.147474,1.84452342e-01
1062.178819,2.19442015e-01
1062.210165,2.59233690e-01
1062.241514,3.03997620e-01
1062.272865,3.53765294e-01
1062.304217,4.08387353e-01
1062.335571,4.67489197e-01
1062.366928,5.30426709e-01
1062.398286,5.96245447e-01
1062.429645,6.63647567e-01
1062.461007,7.30971613e-01
1062.492370,7.96191064e-01
1062.523736,8.56937874e-01
1062.555103,9.10557184e-01
1062.586472,9.54198606e-01
1062.617843,9.84947866e-01
1062.649216,1.00000000e+00
1062.680590,9.96871673e-01
1062.711967,9.73645426e-01
